episode_id,title,date,duration_min,guest_name,guest_affiliation,guest_role,transcript_text
ep_001,The Nature of Consciousness in Machines,2024-01-15,135,Dr. Sarah Chen,Stanford University,Professor of Cognitive Science,"In today's conversation we explore whether consciousness is computational or fundamentally biological. Sarah Chen joined us from Stanford where she runs the consciousness lab. Before Stanford she spent five years at MIT working alongside Marcus Yamamoto on integrated information theory. She argues that current large language models exhibit none of the architectural features required for phenomenal experience even if their outputs sometimes look human-like. The discussion touched on Giulio Tononi's framework and the hard problem of consciousness. Chen pushed back on Geoffrey Hinton's recent claims that large models might have subjective experience. She also mentioned ongoing collaborations with Anil Seth's group at Sussex."
ep_002,AGI Timelines and Hard Limits,2024-02-03,108,Dr. James Rodriguez,Anthropic,Senior Research Scientist,"James Rodriguez joins us to discuss AGI timelines. Rodriguez previously worked at OpenAI for four years before joining Anthropic in 2023. He thinks the field is collectively overoptimistic about timelines and gives a 20 percent probability to transformative AI before 2035. He worked closely with Dario Amodei on scaling laws research and credits much of his current thinking to those years. He pushed back against shorter timeline arguments from Leopold Aschenbrenner. He brought up the alignment problem repeatedly and stressed that capability gains are outpacing interpretability."
ep_003,Brain-Computer Interfaces in Practice,2023-11-22,94,Dr. Aisha Patel,MIT,Associate Professor of Neuroscience,"Aisha Patel discusses the current state of brain-computer interfaces. She runs a lab at MIT focusing on noninvasive recording techniques. Her doctoral work was at Caltech under David Anderson. She is skeptical of Neuralink's claims about general consumer applications and thinks medical applications remain the only credible near-term use case. The conversation covered her collaborations with Edward Boyden on optogenetics and her concerns about commercial pressure distorting the research agenda."
ep_004,The Economics of Compute,2024-03-10,72,Mark Williamson,DeepMind,Director of Research Infrastructure,"Mark Williamson on the economics of compute at frontier AI labs. He has been at DeepMind since 2019 after a decade at Google Brain. The episode covers TPU vs GPU tradeoffs and why model training costs are about to plateau briefly before resuming exponential growth. He mentioned ongoing collaborations with NVIDIA engineers and his earlier work at Google with Jeff Dean on distributed systems. He thinks frontier model training will exceed one billion dollars per run by 2027."
ep_005,Robotics Without Hype,2024-01-28,156,Dr. Hiroshi Tanaka,Toyota Research Institute,Principal Scientist,"Hiroshi Tanaka discusses the state of household robotics. Tanaka spent fifteen years at Honda Research before moving to TRI in 2021. He is openly critical of recent humanoid robot demonstrations that he calls staged. He worked extensively with Russ Tedrake at MIT during a sabbatical year and credits that collaboration with reshaping his views on differentiable simulation. The conversation covered manipulation, locomotion, and why kitchen robots remain twenty years away despite confident predictions otherwise."
ep_006,Multimodal Models and Their Limits,2024-04-15,87,Dr. Emma Bergstrom,Google DeepMind,Senior Research Scientist,"Emma Bergstrom on multimodal AI. She is at Google DeepMind since 2022 after completing her PhD at ETH Zurich. Her advisor was Andreas Krause. She works on vision-language alignment and is well known for her work on the CLIPSurvey paper. She mentioned an ongoing collaboration with Yejin Choi at the University of Washington. Bergstrom argued that current multimodal models are still fundamentally text models with vision encoders bolted on rather than truly integrated systems."
ep_007,The Alignment Question Revisited,2023-12-05,128,Dr. Thomas Lindqvist,Independent Researcher,Former Research Director at MIRI,"Thomas Lindqvist returns to the show. He spent eight years at MIRI before going independent in 2022. He worked with Eliezer Yudkowsky and Nate Soares on early alignment theory. Lindqvist now consults for several frontier labs and is less pessimistic than his MIRI-era writings suggested. He mentioned recent conversations with Paul Christiano about iterated amplification and acknowledged that empirical alignment work has progressed faster than he expected."
ep_008,Open Source LLMs and Their Future,2024-05-08,68,Yuki Sato,Meta AI,Research Engineer,"Yuki Sato discusses the open source LLM ecosystem. Sato has been at Meta since 2021 working on the Llama family of models. Before Meta she was at Hugging Face where she collaborated with Thomas Wolf on the Transformers library. She argues that open weights are essential for safety research and pushed back against arguments from Anthropic researchers that frontier models should be closed. She mentioned recent work with Stanford CRFM on evaluation benchmarks."
ep_009,Why Symbolic AI Refuses to Die,2024-02-20,142,Prof. Robert Hayes,University of Edinburgh,Professor of Logic and Computation,"Robert Hayes makes the case for symbolic AI. Hayes has been at Edinburgh since 1995 with brief visiting appointments at Stanford and Carnegie Mellon. The conversation covered his recent paper on neurosymbolic integration co-authored with Henry Kautz. He is critical of pure scaling approaches and argues that interpretability requires explicit symbolic structure. He spent significant time discussing his earlier collaborations with John McCarthy at Stanford during a 2003 sabbatical."
ep_010,Reinforcement Learning's Identity Crisis,2024-03-25,99,Dr. Liam O'Sullivan,University of California Berkeley,Assistant Professor,"Liam O'Sullivan on reinforcement learning. He completed his PhD at Berkeley under Pieter Abbeel and stayed on as faculty. He works on offline RL and recently collaborated with Sergey Levine on a survey paper. O'Sullivan thinks the RL community has lost its identity and that most current work is really supervised learning with extra steps. He praised recent work by John Schulman at OpenAI and Anthropic on RLHF but argued the term reinforcement learning is increasingly misleading."
